order_id,order_date,customer_id,region,category,product,quantity,unit_price,unit_cost,discount_pct,revenue,cost,profit,profit_margin
ORD-00287,2025-01-26,CUST-0200,Midwest,Home,Scented Candle,2,19.99,7.5,0.05,37.98,15.0,22.98,0.6051
ORD-00633,2025-01-26,CUST-0023,South,Fitness,Water Bottle,2,19.99,6.5,0.05,37.98,13.0,24.98,0.6577
ORD-00435,2025-01-27,CUST-0114,Midwest,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00075,2025-01-28,CUST-0047,Midwest,Home,Desk Lamp,4,34.99,16.0,0.0,139.96,64.0,75.96,0.5427
ORD-00643,2025-01-28,CUST-0086,Midwest,Home,Scented Candle,2,19.99,7.5,0.0,39.98,15.0,24.98,0.6248
ORD-00451,2025-01-29,CUST-0147,West,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00069,2025-01-30,CUST-0173,South,Electronics,Portable Charger,3,39.99,18.0,0.0,119.97,54.0,65.97,0.5499
ORD-00259,2025-01-31,CUST-0094,South,Beauty,Skincare Set,1,54.99,22.0,0.0,54.99,22.0,32.99,0.5999
ORD-00270,2025-01-31,CUST-0089,South,Home,Storage Basket,2,24.99,10.0,0.0,49.98,20.0,29.98,0.5998
ORD-00099,2025-02-01,CUST-0030,South,Fitness,Water Bottle,1,19.99,6.5,0.2,15.99,6.5,9.49,0.5935
ORD-00290,2025-02-01,,Midwest,Home,Storage Basket,1,24.99,10.0,0.0,24.99,10.0,14.99,0.5998
ORD-00109,2025-02-01,CUST-0017,West,Home,Desk Lamp,2,34.99,16.0,0.05,66.48,32.0,34.48,0.5187
ORD-00294,2025-02-01,CUST-0179,West,Electronics,Wireless Headphones,1,79.99,42.0,0.0,79.99,42.0,37.99,0.4749
ORD-00188,2025-02-01,CUST-0023,South,Electronics,Smart Watch,3,129.99,78.0,0.05,370.47,234.0,136.47,0.3684
ORD-00193,2025-02-01,CUST-0197,West,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00218,2025-02-02,CUST-0023,Northeast,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00628,2025-02-04,CUST-0037,South,Beauty,Body Care Set,1,29.99,11.0,0.0,29.99,11.0,18.99,0.6332
ORD-00337,2025-02-05,CUST-0155,South,Fitness,Foam Roller,2,29.99,12.0,0.05,56.98,24.0,32.98,0.5788
ORD-00583,2025-02-05,CUST-0019,Midwest,Beauty,Body Care Set,2,29.99,11.0,0.15,50.98,22.0,28.98,0.5685
ORD-00636,2025-02-05,CUST-0114,South,Fitness,Foam Roller,1,29.99,12.0,0.15,25.49,12.0,13.49,0.5293
ORD-00608,2025-02-05,CUST-0167,West,Electronics,Smart Watch,2,129.99,78.0,0.2,207.98,156.0,51.98,0.2499
ORD-00363,2025-02-06,CUST-0115,Northeast,Home,Scented Candle,2,19.99,7.5,0.0,39.98,15.0,24.98,0.6248
ORD-00404,2025-02-06,CUST-0094,Northeast,Beauty,Makeup Organizer,2,24.99,9.0,0.05,47.48,18.0,29.48,0.6209
ORD-00339,2025-02-06,CUST-0007,Northeast,Beauty,Hair Tool,2,69.99,31.0,0.0,139.98,62.0,77.98,0.5571
ORD-00511,2025-02-07,CUST-0191,Northeast,Electronics,Bluetooth Speaker,4,59.99,31.0,0.0,239.96,124.0,115.96,0.4832
ORD-00409,2025-02-07,CUST-0021,Midwest,Home,Scented Candle,3,19.99,7.5,0.1,53.97,22.5,31.47,0.5831
ORD-00086,2025-02-07,CUST-0091,West,Electronics,Portable Charger,1,39.99,18.0,0.05,37.99,18.0,19.99,0.5262
ORD-00129,2025-02-08,CUST-0018,South,Home,Scented Candle,3,19.99,7.5,0.1,53.97,22.5,31.47,0.5831
ORD-00473,2025-02-11,CUST-0157,Northeast,Electronics,Wireless Headphones,1,79.99,42.0,0.0,79.99,42.0,37.99,0.4749
ORD-00060,2025-02-11,CUST-0159,South,Electronics,Bluetooth Speaker,2,59.99,31.0,0.1,107.98,62.0,45.98,0.4258
ORD-00009,2025-02-12,CUST-0117,Northeast,Home,Desk Lamp,2,34.99,16.0,0.2,55.98,32.0,23.98,0.4284
ORD-00619,2025-02-13,CUST-0004,West,Beauty,Skincare Set,2,54.99,22.0,0.0,109.98,44.0,65.98,0.5999
ORD-00437,2025-02-15,CUST-0075,West,Electronics,Bluetooth Speaker,1,59.99,31.0,0.0,59.99,31.0,28.99,0.4832
ORD-00364,2025-02-16,CUST-0115,West,Electronics,Bluetooth Speaker,4,59.99,31.0,0.05,227.96,124.0,103.96,0.456
ORD-00548,2025-02-16,CUST-0216,Northeast,Home,Storage Basket,1,24.99,10.0,0.0,24.99,10.0,14.99,0.5998
ORD-00155,2025-02-17,CUST-0080,Northeast,Home,Storage Basket,2,24.99,10.0,0.0,49.98,20.0,29.98,0.5998
ORD-00123,2025-02-17,CUST-0043,South,Electronics,Wireless Headphones,4,79.99,42.0,0.1,287.96,168.0,119.96,0.4166
ORD-00005,2025-02-18,CUST-0020,Northeast,Electronics,Smart Watch,1,129.99,78.0,0.0,129.99,78.0,51.99,0.4
ORD-00455,2025-02-18,CUST-0185,West,Beauty,Hair Tool,2,69.99,31.0,0.0,139.98,62.0,77.98,0.5571
ORD-00240,2025-02-18,CUST-0047,South,Fitness,Yoga Mat,2,34.99,14.0,0.05,66.48,28.0,38.48,0.5788
ORD-00362,2025-02-18,CUST-0092,South,Fitness,Yoga Mat,1,34.99,14.0,0.05,33.24,14.0,19.24,0.5788
ORD-00037,2025-02-18,CUST-0034,Northeast,Beauty,Skincare Set,2,54.99,22.0,0.05,104.48,44.0,60.48,0.5789
ORD-00098,2025-02-19,CUST-0138,Midwest,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00561,2025-02-21,CUST-0206,West,Fitness,Yoga Mat,4,34.99,14.0,0.0,139.96,56.0,83.96,0.5999
ORD-00525,2025-02-22,CUST-0120,South,Home,Storage Basket,1,24.99,10.0,0.05,23.74,10.0,13.74,0.5788
ORD-00258,2025-02-22,CUST-0002,Northeast,Electronics,Wireless Headphones,2,79.99,42.0,0.1,143.98,84.0,59.98,0.4166
ORD-00161,2025-02-23,CUST-0100,South,Fitness,Foam Roller,1,29.99,12.0,0.0,29.99,12.0,17.99,0.5999
ORD-00350,2025-02-24,CUST-0068,Midwest,Electronics,Wireless Headphones,5,79.99,42.0,0.0,399.95,210.0,189.95,0.4749
ORD-00413,2025-02-25,CUST-0055,Midwest,Beauty,Body Care Set,1,29.99,11.0,0.0,29.99,11.0,18.99,0.6332
ORD-00209,2025-02-25,CUST-0061,South,Electronics,Bluetooth Speaker,1,59.99,31.0,0.0,59.99,31.0,28.99,0.4832
ORD-00392,2025-02-25,CUST-0069,West,Home,Desk Lamp,1,34.99,16.0,0.1,31.49,16.0,15.49,0.4919
ORD-00269,2025-02-26,CUST-0109,West,Beauty,Hair Tool,2,69.99,31.0,0.05,132.98,62.0,70.98,0.5338
ORD-00230,2025-02-26,CUST-0091,Northeast,Fitness,Resistance Bands,1,24.99,8.0,0.0,24.99,8.0,16.99,0.6799
ORD-00389,2025-02-27,CUST-0074,Midwest,Fitness,Resistance Bands,1,24.99,8.0,0.1,22.49,8.0,14.49,0.6443
ORD-00140,2025-02-27,CUST-0129,West,Electronics,Smart Watch,1,129.99,78.0,0.0,129.99,78.0,51.99,0.4
ORD-00510,2025-02-27,CUST-0204,West,Home,Scented Candle,2,19.99,7.5,0.0,39.98,15.0,24.98,0.6248
ORD-00352,2025-03-01,CUST-0127,Midwest,Fitness,Foam Roller,1,29.99,12.0,0.15,25.49,12.0,13.49,0.5293
ORD-00444,2025-03-01,CUST-0108,South,Home,Desk Lamp,1,34.99,16.0,0.0,34.99,16.0,18.99,0.5427
ORD-00153,2025-03-02,CUST-0141,Northeast,Home,Scented Candle,1,19.99,7.5,0.1,17.99,7.5,10.49,0.5831
ORD-00589,2025-03-02,CUST-0097,South,Electronics,Portable Charger,1,39.99,18.0,0.0,39.99,18.0,21.99,0.5499
ORD-00051,2025-03-02,CUST-0167,South,Electronics,Portable Charger,1,39.99,18.0,0.05,37.99,18.0,19.99,0.5262
ORD-00469,2025-03-03,CUST-0046,Northeast,Fitness,Resistance Bands,2,24.99,8.0,0.0,49.98,16.0,33.98,0.6799
ORD-00231,2025-03-03,CUST-0030,Northeast,Electronics,Portable Charger,1,39.99,18.0,0.0,39.99,18.0,21.99,0.5499
ORD-00059,2025-03-04,CUST-0063,Midwest,Home,Throw Blanket,1,44.99,20.0,0.0,44.99,20.0,24.99,0.5555
ORD-00516,2025-03-04,CUST-0096,South,Fitness,Yoga Mat,3,34.99,14.0,0.05,99.72,42.0,57.72,0.5788
ORD-00310,2025-03-04,CUST-0054,Midwest,Home,Storage Basket,1,24.99,10.0,0.1,22.49,10.0,12.49,0.5554
ORD-00026,2025-03-06,CUST-0149,South,Fitness,Foam Roller,5,29.99,12.0,0.0,149.95,60.0,89.95,0.5999
ORD-00539,2025-03-07,CUST-0014,Northeast,Home,Throw Blanket,1,44.99,20.0,0.05,42.74,20.0,22.74,0.5321
ORD-00282,2025-03-07,CUST-0023,West,Beauty,Skincare Set,1,54.99,22.0,0.05,52.24,22.0,30.24,0.5789
ORD-00552,2025-03-08,CUST-0041,Midwest,Home,Desk Lamp,1,34.99,16.0,0.0,34.99,16.0,18.99,0.5427
ORD-00523,2025-03-10,CUST-0043,Northeast,Beauty,Body Care Set,1,29.99,11.0,0.0,29.99,11.0,18.99,0.6332
ORD-00204,2025-03-10,CUST-0006,South,Beauty,Hair Tool,1,69.99,31.0,0.15,59.49,31.0,28.49,0.4789
ORD-00456,2025-03-10,CUST-0162,Midwest,Fitness,Resistance Bands,2,24.99,8.0,0.0,49.98,16.0,33.98,0.6799
ORD-00091,2025-03-10,CUST-0085,Northeast,Fitness,Foam Roller,1,29.99,12.0,0.05,28.49,12.0,16.49,0.5788
ORD-00261,2025-03-10,CUST-0122,West,Electronics,Smart Watch,1,129.99,78.0,0.0,129.99,78.0,51.99,0.4
ORD-00538,2025-03-10,CUST-0006,Northeast,Fitness,Yoga Mat,2,34.99,14.0,0.05,66.48,28.0,38.48,0.5788
ORD-00272,2025-03-12,CUST-0073,South,Fitness,Water Bottle,2,19.99,6.5,0.05,37.98,13.0,24.98,0.6577
ORD-00195,2025-03-13,CUST-0093,Northeast,Beauty,Hair Tool,5,69.99,31.0,0.0,349.95,155.0,194.95,0.5571
ORD-00419,2025-03-13,CUST-0016,South,Beauty,Body Care Set,2,29.99,11.0,0.05,56.98,22.0,34.98,0.6139
ORD-00454,2025-03-13,CUST-0073,Northeast,Home,Throw Blanket,1,44.99,20.0,0.2,35.99,20.0,15.99,0.4443
ORD-00474,2025-03-13,CUST-0149,West,Electronics,Bluetooth Speaker,2,59.99,31.0,0.0,119.98,62.0,57.98,0.4832
ORD-00462,2025-03-13,CUST-0140,West,Beauty,Hair Tool,5,69.99,31.0,0.2,279.96,155.0,124.96,0.4463
ORD-00335,2025-03-13,CUST-0103,South,Beauty,Hair Tool,1,69.99,31.0,0.05,66.49,31.0,35.49,0.5338
ORD-00196,2025-03-14,CUST-0074,South,Electronics,Portable Charger,1,39.99,18.0,0.2,31.99,18.0,13.99,0.4374
ORD-00217,2025-03-15,CUST-0052,Northeast,Home,Throw Blanket,1,44.99,20.0,0.15,38.24,20.0,18.24,0.477
ORD-00553,2025-03-15,CUST-0039,Northeast,Electronics,Wireless Headphones,1,79.99,42.0,0.05,75.99,42.0,33.99,0.4473
ORD-00266,2025-03-15,CUST-0118,Midwest,Home,Storage Basket,2,24.99,10.0,0.2,39.98,20.0,19.98,0.4998
ORD-00199,2025-03-15,CUST-0084,South,Home,Throw Blanket,2,44.99,20.0,0.2,71.98,40.0,31.98,0.4443
ORD-00131,2025-03-15,CUST-0088,Midwest,Fitness,Foam Roller,1,29.99,12.0,0.1,26.99,12.0,14.99,0.5554
ORD-00115,2025-03-19,CUST-0041,West,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00050,2025-03-19,CUST-0192,West,Electronics,Portable Charger,2,39.99,18.0,0.0,79.98,36.0,43.98,0.5499
ORD-00268,2025-03-19,CUST-0100,Northeast,Home,Scented Candle,2,19.99,7.5,0.0,39.98,15.0,24.98,0.6248
ORD-00417,2025-03-21,CUST-0200,West,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00029,2025-03-21,CUST-0210,Midwest,Fitness,Yoga Mat,2,34.99,14.0,0.0,69.98,28.0,41.98,0.5999
ORD-00587,2025-03-21,CUST-0107,South,Electronics,Portable Charger,1,39.99,18.0,0.1,35.99,18.0,17.99,0.4999
ORD-00302,2025-03-23,CUST-0070,Northeast,Home,Storage Basket,3,24.99,10.0,0.05,71.22,30.0,41.22,0.5788
ORD-00341,2025-03-23,CUST-0061,Northeast,Beauty,Makeup Organizer,1,24.99,9.0,0.1,22.49,9.0,13.49,0.5998
ORD-00375,2025-03-23,CUST-0001,Midwest,Electronics,Bluetooth Speaker,5,59.99,31.0,0.1,269.95,155.0,114.95,0.4258
ORD-00442,2025-03-24,CUST-0155,West,Fitness,Yoga Mat,2,34.99,14.0,0.15,59.48,28.0,31.48,0.5293
ORD-00213,2025-03-24,CUST-0014,West,Home,Throw Blanket,3,44.99,20.0,0.0,134.97,60.0,74.97,0.5555
ORD-00545,2025-03-24,CUST-0088,South,Electronics,Wireless Headphones,1,79.99,42.0,0.2,63.99,42.0,21.99,0.3437
ORD-00128,2025-03-28,CUST-0174,Northeast,Fitness,Foam Roller,4,29.99,12.0,0.1,107.96,48.0,59.96,0.5554
ORD-00084,2025-03-28,CUST-0034,West,Electronics,Wireless Headphones,1,79.99,42.0,0.0,79.99,42.0,37.99,0.4749
ORD-00089,2025-03-28,CUST-0115,South,Home,Desk Lamp,2,34.99,16.0,0.0,69.98,32.0,37.98,0.5427
ORD-00207,2025-03-29,CUST-0106,South,Home,Storage Basket,2,24.99,10.0,0.05,47.48,20.0,27.48,0.5788
ORD-00264,2025-03-29,,Midwest,Beauty,Body Care Set,1,29.99,11.0,0.15,25.49,11.0,14.49,0.5685
ORD-00376,2025-03-31,CUST-0142,West,Electronics,Wireless Headphones,2,79.99,42.0,0.0,159.98,84.0,75.98,0.4749
ORD-00036,2025-03-31,CUST-0040,Midwest,Fitness,Yoga Mat,1,34.99,14.0,0.0,34.99,14.0,20.99,0.5999
ORD-00175,2025-03-31,CUST-0104,Northeast,Fitness,Water Bottle,2,19.99,6.5,0.0,39.98,13.0,26.98,0.6748
ORD-00644,2025-04-01,CUST-0070,South,Fitness,Yoga Mat,1,34.99,14.0,0.0,34.99,14.0,20.99,0.5999
ORD-00146,2025-04-02,CUST-0073,Midwest,Fitness,Yoga Mat,2,34.99,14.0,0.05,66.48,28.0,38.48,0.5788
ORD-00163,2025-04-02,CUST-0072,South,Fitness,Resistance Bands,2,24.99,8.0,0.15,42.48,16.0,26.48,0.6234
ORD-00243,2025-04-03,CUST-0012,West,Home,Storage Basket,2,24.99,10.0,0.15,42.48,20.0,22.48,0.5292
ORD-00488,2025-04-03,CUST-0175,Northeast,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00536,2025-04-05,CUST-0055,West,Beauty,Hair Tool,1,69.99,31.0,0.0,69.99,31.0,38.99,0.5571
ORD-00445,2025-04-07,CUST-0117,South,Fitness,Water Bottle,3,19.99,6.5,0.15,50.97,19.5,31.47,0.6175
ORD-00309,2025-04-08,CUST-0100,Northeast,Home,Desk Lamp,1,34.99,16.0,0.0,34.99,16.0,18.99,0.5427
ORD-00206,2025-04-08,CUST-0217,,Fitness,Yoga Mat,2,34.99,14.0,0.1,62.98,28.0,34.98,0.5554
ORD-00016,2025-04-09,CUST-0040,Midwest,Home,Throw Blanket,2,44.99,20.0,0.2,71.98,40.0,31.98,0.4443
ORD-00103,2025-04-09,CUST-0037,West,Fitness,Water Bottle,3,19.99,6.5,0.0,59.97,19.5,40.47,0.6748
ORD-00562,2025-04-09,CUST-0149,South,Beauty,Hair Tool,1,69.99,31.0,0.05,66.49,31.0,35.49,0.5338
ORD-00482,2025-04-11,CUST-0095,Midwest,Electronics,Bluetooth Speaker,1,59.99,31.0,0.15,50.99,31.0,19.99,0.3921
ORD-00284,2025-04-13,CUST-0147,Midwest,Beauty,Makeup Organizer,1,24.99,9.0,0.2,19.99,9.0,10.99,0.5498
ORD-00074,2025-04-13,CUST-0006,Northeast,Fitness,Resistance Bands,2,24.99,8.0,0.0,49.98,16.0,33.98,0.6799
ORD-00255,2025-04-14,CUST-0104,West,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00173,2025-04-14,CUST-0056,South,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00192,2025-04-15,CUST-0004,Midwest,Fitness,Yoga Mat,1,34.99,14.0,0.05,33.24,14.0,19.24,0.5788
ORD-00283,2025-04-16,CUST-0112,Midwest,Fitness,Yoga Mat,3,34.99,14.0,0.05,99.72,42.0,57.72,0.5788
ORD-00190,2025-04-16,CUST-0060,Midwest,Home,Throw Blanket,1,44.99,20.0,0.0,44.99,20.0,24.99,0.5555
ORD-00112,2025-04-17,CUST-0030,South,Home,Desk Lamp,2,34.99,16.0,0.0,69.98,32.0,37.98,0.5427
ORD-00372,2025-04-18,CUST-0063,South,Fitness,Foam Roller,1,29.99,12.0,0.0,29.99,12.0,17.99,0.5999
ORD-00254,2025-04-19,CUST-0052,Northeast,Home,Desk Lamp,1,34.99,16.0,0.05,33.24,16.0,17.24,0.5187
ORD-00348,2025-04-20,CUST-0017,West,Home,Throw Blanket,1,44.99,20.0,0.0,44.99,20.0,24.99,0.5555
ORD-00313,2025-04-21,CUST-0157,South,Home,Throw Blanket,5,44.99,20.0,0.15,191.21,100.0,91.21,0.477
ORD-00436,2025-04-24,CUST-0167,South,Electronics,Smart Watch,1,129.99,78.0,0.15,110.49,78.0,32.49,0.2941
ORD-00039,2025-04-24,CUST-0115,South,Electronics,Wireless Headphones,1,79.99,42.0,0.2,63.99,42.0,21.99,0.3437
ORD-00475,2025-04-24,CUST-0080,Northeast,Home,Storage Basket,4,24.99,10.0,0.1,89.96,40.0,49.96,0.5554
ORD-00556,2025-04-26,CUST-0112,Northeast,Home,Scented Candle,4,19.99,7.5,0.05,75.96,30.0,45.96,0.6051
ORD-00596,2025-04-26,CUST-0029,South,Electronics,Smart Watch,3,129.99,78.0,0.0,389.97,234.0,155.97,0.4
ORD-00332,2025-04-27,CUST-0220,West,Beauty,Skincare Set,1,54.99,22.0,0.1,49.49,22.0,27.49,0.5555
ORD-00071,2025-04-27,CUST-0088,Northeast,Beauty,Skincare Set,2,54.99,22.0,0.0,109.98,44.0,65.98,0.5999
ORD-00108,2025-04-27,CUST-0079,South,Fitness,Foam Roller,1,29.99,12.0,0.0,29.99,12.0,17.99,0.5999
ORD-00416,2025-04-27,CUST-0011,Midwest,Beauty,Hair Tool,1,69.99,31.0,0.0,69.99,31.0,38.99,0.5571
ORD-00427,2025-04-29,CUST-0152,Midwest,Electronics,Portable Charger,1,39.99,18.0,0.0,39.99,18.0,21.99,0.5499
ORD-00507,2025-05-01,CUST-0039,South,Fitness,Yoga Mat,5,34.99,14.0,0.0,174.95,70.0,104.95,0.5999
ORD-00571,2025-05-02,CUST-0042,West,Home,Storage Basket,3,24.99,10.0,0.05,71.22,30.0,41.22,0.5788
ORD-00580,2025-05-04,CUST-0112,Northeast,Home,Throw Blanket,1,44.99,20.0,0.15,38.24,20.0,18.24,0.477
ORD-00184,2025-05-04,CUST-0040,West,Fitness,Foam Roller,1,29.99,12.0,0.05,28.49,12.0,16.49,0.5788
ORD-00319,2025-05-04,CUST-0179,Northeast,Electronics,Bluetooth Speaker,3,59.99,31.0,0.0,179.97,93.0,86.97,0.4832
ORD-00330,2025-05-04,CUST-0062,West,Beauty,Skincare Set,2,54.99,22.0,0.05,104.48,44.0,60.48,0.5789
ORD-00398,2025-05-05,CUST-0130,South,Home,Throw Blanket,5,44.99,20.0,0.2,179.96,100.0,79.96,0.4443
ORD-00476,2025-05-05,CUST-0153,South,Fitness,Water Bottle,1,19.99,6.5,0.1,17.99,6.5,11.49,0.6387
ORD-00316,2025-05-06,CUST-0039,South,Electronics,Portable Charger,2,39.99,18.0,0.2,63.98,36.0,27.98,0.4374
ORD-00095,2025-05-07,CUST-0110,West,Beauty,Body Care Set,1,29.99,11.0,0.05,28.49,11.0,17.49,0.6139
ORD-00517,2025-05-08,CUST-0123,South,Electronics,Smart Watch,1,129.99,78.0,0.0,129.99,78.0,51.99,0.4
ORD-00263,2025-05-08,CUST-0030,South,Electronics,Portable Charger,1,39.99,18.0,0.2,31.99,18.0,13.99,0.4374
ORD-00113,2025-05-08,CUST-0029,Midwest,Electronics,Smart Watch,1,129.99,78.0,0.15,110.49,78.0,32.49,0.2941
ORD-00022,2025-05-09,CUST-0066,Midwest,Beauty,Makeup Organizer,1,24.99,9.0,0.0,24.99,9.0,15.99,0.6399
ORD-00401,2025-05-09,CUST-0195,Northeast,Electronics,Wireless Headphones,1,79.99,42.0,0.0,79.99,42.0,37.99,0.4749
ORD-00494,2025-05-09,CUST-0104,South,Fitness,Resistance Bands,2,24.99,8.0,0.0,49.98,16.0,33.98,0.6799
ORD-00615,2025-05-11,CUST-0050,West,Beauty,Body Care Set,3,29.99,11.0,0.1,80.97,33.0,47.97,0.5925
ORD-00557,2025-05-12,CUST-0061,West,Home,Scented Candle,1,19.99,7.5,0.0,19.99,7.5,12.49,0.6248
ORD-00588,2025-05-13,CUST-0074,South,Beauty,Skincare Set,2,54.99,22.0,0.0,109.98,44.0,65.98,0.5999
ORD-00033,2025-05-14,CUST-0008,South,Fitness,Foam Roller,1,29.99,12.0,0.05,28.49,12.0,16.49,0.5788
ORD-00068,2025-05-15,CUST-0068,Northeast,Fitness,Resistance Bands,2,24.99,8.0,0.0,49.98,16.0,33.98,0.6799
ORD-00618,2025-05-16,CUST-0025,Northeast,Home,Storage Basket,1,24.99,10.0,0.0,24.99,10.0,14.99,0.5998
ORD-00514,2025-05-16,CUST-0032,South,Fitness,Yoga Mat,1,34.99,14.0,0.0,34.99,14.0,20.99,0.5999
ORD-00277,2025-05-17,CUST-0157,South,Fitness,Foam Roller,2,29.99,12.0,0.05,56.98,24.0,32.98,0.5788
ORD-00369,2025-05-17,CUST-0013,Midwest,Electronics,Smart Watch,2,129.99,78.0,0.0,259.98,156.0,103.98,0.4
ORD-00044,2025-05-18,CUST-0050,Northeast,Beauty,Hair Tool,1,69.99,31.0,0.0,69.99,31.0,38.99,0.5571
ORD-00134,2025-05-18,CUST-0062,West,Home,Desk Lamp,3,34.99,16.0,0.0,104.97,48.0,56.97,0.5427
